English,standard bangla,romanized bangla,chakma,romanized chakma
You are very beautiful,তুমি খুব সুন্দর,Tumi khub shundor,তুই ভারী দোল,Tui bhari dol
What is your name?,তোমার নাম কি?,Tomar nam ki?,ত নাঙান হি?,To nangaan hi?
How are you?,তুমি কেমন আছো?,Tumi kemon acho?,তুই হেজান আগজ,Tui hejan agoj
I am fine,আমি ভালো আছি,Ami bhalo achi,মুই গম আগং,Mui gom agong
Where do you live?,তুমি কোথায় থাকো,Tumi kothay thako,তুই হুদু থাছ,Tui hudu thach
I am going to my uncle's house.,আমার মামার বাড়ি যাচ্ছি।,Amar mamar bari jacchi.,মুই মামু ঘরত যাঙত্তে,Mui mamu ghorot yangotte
Have you eaten rice?,তুমি ভাত খেয়েছ?,Tumi bhat kheyecho?,তুই ভাত হিয়স,Tui bhat hiyos
Where is your house?,তোমার বাসা কোথায়?,Tomar basa kothay?,ত ঘরান হুদু,To ghoran hudu
How is everyone at your house?,তোমার বাসায় সবাই কেমন আছে।?,Tomar basay shobai kemon ache?,তমা ঘরত বেক্কুন হেজান আগন,Toma ghorot bekkun hejan agon
Come visit our house.,আমাদের বাড়িতে বেড়াতে এসো।,Amader barite berate esho.,আমা ঘরত বেরেচ্ছি,Ama ghorot berechchi
When will you return home?,তুমি কখন বাড়ি ফিরবে,Tumi kokhon bari firbe,তুই হক্কে ঘরত ফিরিবে,Tui hokke ghorot phiribe
I will return in a while.,কিছুক্ষণ পরে ফিরব,Kichukkhon pore firbo,হাক্ষন পরে ফিরিম,Hakkhon pore phirim
Will you have tea?,তুমি চা খাবে?,Tumi cha khabe?,তুই চা হেবে?,Tui cha hebe?
I eat rice.,আমি ভাত খাই।,Ami bhat khai.,মুই হাঙ,Mui haang
We eat.,আমরা খাই।,Amra khai.,আমি হেই,Ami hei
You eat.,তুমি খাও।,Tumi khao.,তুই হা,Tui haa
You eat.,তোমরা খাও।,Tomra khao.,তুমি হো,Tumi ho
I hate you.,আমি আপনাকে ঘৃণা করি,Ami apnake ghrina kori,মুই তরে বিজ দেগঙ,Mui tore bij degong
